feature,importance
RevolvingUtilizationOfUnsecuredLines,286
age,219
weighted_past_due_score,192
DebtRatio,190
NumberOfOpenCreditLinesAndLoans,190
MonthlyIncome,135
debt_per_income,130
income_per_dependent,107
utilization_per_credit_line,88
real_estate_share,77
utilization_times_debt,67
NumberRealEstateLoansOrLines,58
total_past_due_events,48
past_due_per_open_line,48
NumberOfDependents,32
NumberOfTimes90DaysLate,14
NumberOfTime60-89DaysPastDueNotWorse,9
has_missing_income,9
severe_past_due,2
is_senior,2
dependents_plus_one,2
has_missing_dependents,2
any_past_due,1
NumberOfTime30-59DaysPastDueNotWorse,1
is_young,0
